full_ID,set,manipulation,face_n,artificial,race_guess,race_ba,race_ea,race_hl,race_me,race_na,race_pi,race_se,race_sa,race_wc,prot_ba_n,prot_ba_m,prot_ba_sd,prot_ba_mdn,prot_ba_min,prot_ba_max,prot_ea_n,prot_ea_m,prot_ea_sd,prot_ea_mdn,prot_ea_min,prot_ea_max,prot_hl_n,prot_hl_m,prot_hl_sd,prot_hl_mdn,prot_hl_min,prot_hl_max,prot_me_n,prot_me_m,prot_me_sd,prot_me_mdn,prot_me_min,prot_me_max,prot_na_n,prot_na_m,prot_na_sd,prot_na_mdn,prot_na_min,prot_na_max,prot_pi_n,prot_pi_m,prot_pi_sd,prot_pi_mdn,prot_pi_min,prot_pi_max,prot_se_n,prot_se_m,prot_se_sd, prot_se_mdn ,prot_se_min,prot_se_max,prot_sa_n,prot_sa_m,prot_sa_sd,prot_sa_mdn,prot_sa_min,prot_sa_max,prot_wc_n,prot_wc_m,prot_wc_sd,prot_wc_mdn,prot_wc_min,prot_wc_max,age_m,age_sd,age_mdn,age_n,age_min,age_max,gender_fem,attract_m,attract_sd,attract_mdn,attract_n,attract_min,attract_max,happy_m,happy_sd,happy_mdn,happy_n,happy_min,happy_max
13553-2393,13553,2393,55,0.188,Black,0.800,0.018,0.200,0.055,0.000,0.073,0.000,0.036,0.291,44,60.750,19.978,60.0,20,100,1,30.000,NA,30.0,30,30,11,62.636,12.052,60.0,40,80,3,48.000,14.731,40.0,39,65,NA,NA,NA,NA,NA,NA,4,55.500,18.877,61.5,29,70,NA,NA,NA, NA ,NA,NA,2,62.000,25.456,62.0,44,80,16,39.500,20.047,47.5,2,70,36.655,5.532,37.0,55,24,48,1.000,4.873,1.263,5.0,55.000,1,7,5.200,0.970,5.0,55,3,7
13571-3112,13571,3112,51,0.071,Multiple,0.020,0.000,0.196,0.196,0.059,0.137,0.098,0.392,0.098,1,31.000,NA,31.0,31,31,NA,NA,NA,NA,NA,NA,10,66.900,17.842,63.5,40,95,10,80.300,20.721,85.5,30,100,3,64.333,9.609,66.0,54,73,7,68.000,16.633,74.0,41,83,5,48.000,29.589, 50.0 ,0,80,20,63.550,14.681,59.5,46,91,5,51.200,27.995,39.0,32,100,30.216,5.270,30.0,51,23,45,1.000,5.725,0.827,6.0,51.000,4,7,6.176,0.767,6.0,51,4,7
13571-3876,13571,3876,52,0.000,Multiple,0.404,0.038,0.269,0.096,0.058,0.231,0.058,0.327,0.038,21,59.143,19.843,59.0,15,100,2,55.000,49.497,55.0,20,90,14,60.857,25.618,64.0,15,100,5,54.400,15.947,55.0,30,70,3,28.333,2.887,30.0,25,30,12,61.750,24.882,53.0,20,100,3,36.000,13.077, 30.0 ,27,51,17,68.118,18.272,71.0,40,100,2,50.000,0.000,50.0,50,50,33.615,6.053,34.5,52,23,55,1.000,5.250,1.266,5.0,52.000,2,7,6.019,0.804,6.0,52,4,7
13571-3977,13571,3977,48,0.143,White,0.021,0.000,0.271,0.167,0.021,0.021,0.021,0.083,0.833,1,35.000,NA,35.0,35,35,NA,NA,NA,NA,NA,NA,13,45.846,20.211,45.0,18,100,8,61.250,23.292,65.0,23,90,1,50.000,NA,50.0,50,50,1,45.000,NA,45.0,45,45,1,53.000,NA, 53.0 ,53,53,4,50.250,6.131,50.0,43,58,40,71.450,22.507,73.5,15,100,33.000,4.745,35.0,48,24,43,1.000,5.417,1.048,5.0,48.000,1,7,6.000,0.923,6.0,48,3,7
13612-28,13612,28,54,0.125,Multiple,0.056,0.000,0.444,0.130,0.111,0.167,0.111,0.259,0.019,3,54.000,6.083,51.0,50,61,NA,NA,NA,NA,NA,NA,24,73.208,16.883,73.5,30,100,7,67.857,25.056,75.0,17,95,6,54.833,22.463,57.5,15,77,9,52.444,27.969,50.0,11,89,6,61.667,26.853, 75.5 ,20,82,14,67.714,25.611,75.0,21,100,1,65.000,NA,65.0,65,65,30.500,5.365,30.0,54,18,50,1.000,5.222,1.176,5.0,54.000,2,7,6.093,0.937,6.0,54,3,7
13612-30,13612,30,54,0.067,White,0.000,0.037,0.056,0.019,0.019,0.019,0.000,0.000,0.944,NA,NA,NA,NA,NA,NA,2,47.500,31.820,47.5,25,70,3,34.333,19.140,40.0,13,50,1,37.000,NA,37.0,37,37,1,25.000,NA,25.0,25,25,1,70.000,NA,70.0,70,70,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,51,88.588,13.537,94.0,50,100,28.463,5.035,28.0,54,20,45,0.981,4.944,1.204,5.0,54.000,2,7,5.907,1.033,6.0,54,3,7
13612-75,13612,75,54,0.071,Multiple,0.074,0.000,0.296,0.056,0.130,0.241,0.093,0.389,0.037,4,65.500,14.012,64.0,50,84,NA,NA,NA,NA,NA,NA,16,68.188,21.998,70.0,20,100,3,58.333,17.559,60.0,40,75,7,53.857,22.319,63.0,20,82,13,72.385,21.520,77.0,25,100,5,45.600,20.020, 50.0 ,20,66,21,72.333,15.252,75.0,40,90,2,73.000,32.527,73.0,50,96,30.630,5.757,30.0,54,19,45,0.981,5.185,1.275,5.0,54.000,1,7,6.296,0.768,6.0,54,4,7
13612-2603,13612,2603,52,0.063,Multiple,0.019,0.077,0.423,0.038,0.135,0.173,0.231,0.135,0.077,1,64.000,NA,64.0,64,64,4,63.000,24.685,51.0,50,100,22,72.500,21.087,74.0,30,100,2,51.500,27.577,51.5,32,71,7,67.000,20.607,70.0,24,92,9,76.000,19.956,75.0,33,100,12,61.667,24.399, 65.5 ,18,100,7,58.714,21.227,51.0,38,92,4,41.250,17.951,40.0,23,62,31.558,6.018,30.0,52,20,48,1.000,5.212,1.016,5.0,52.000,3,7,6.077,0.737,6.0,52,4,7
13826-28,13826,28,56,0.063,Multiple,0.071,0.000,0.500,0.339,0.018,0.071,0.018,0.286,0.089,4,56.750,29.477,46.0,35,100,NA,NA,NA,NA,NA,NA,28,62.821,20.111,64.5,10,93,19,77.737,12.101,79.0,56,100,1,72.000,NA,72.0,72,72,4,51.750,29.781,51.5,20,84,1,50.000,NA, 50.0 ,50,50,16,68.500,17.336,67.5,39,100,5,30.000,17.161,30.0,12,53,26.018,3.901,25.0,56,19,39,0.000,4.839,1.304,5.0,56.000,1,7,6.089,0.815,6.0,56,4,7
13826-533,13826,533,57,0.118,SouthAsian,0.175,0.000,0.140,0.281,0.000,0.088,0.070,0.561,0.018,10,55.900,23.909,52.5,25,96,NA,NA,NA,NA,NA,NA,8,62.625,22.335,61.5,20,93,16,77.813,16.940,76.0,45,100,NA,NA,NA,NA,NA,NA,5,62.600,37.654,80.0,5,100,4,66.250,23.042, 57.0 ,51,100,32,72.000,21.915,77.5,30,100,1,32.000,NA,32.0,32,32,27.211,4.275,26.0,57,20,37,0.000,4.596,1.438,5.0,57.000,1,7,6.316,0.659,6.0,57,5,7
